county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,1.3,5.3,54.23,Low,2022-03-17
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.2,2.7,102.34,Low,2022-03-17
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.8,6.7,48.50,Low,2022-03-17
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.8,6.7,44.82,Low,2022-03-17
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,1.3,5.3,38.03,Low,2022-03-17
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,3.3,0.0,158.50,Low,2022-03-17
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.0,3.6,79.23,Low,2022-03-17
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.8,6.7,52.46,Low,2022-03-17
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.2,2.7,81.95,Low,2022-03-17
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.3,2.2,86.84,Low,2022-03-17
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,1.9,3.0,79.47,Low,2022-03-17
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.0,3.6,71.51,Low,2022-03-17
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,2.9,4.7,69.17,Low,2022-03-17
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,0.9,3.3,98.20,Low,2022-03-17
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,2.9,4.7,47.93,Low,2022-03-17
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.2,2.7,107.81,Low,2022-03-17
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.8,6.7,83.35,Low,2022-03-17
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.0,3.6,59.59,Low,2022-03-17
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,0.9,3.3,32.03,Low,2022-03-17
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.0,3.6,71.00,Low,2022-03-17
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.3,2.2,66.50,Low,2022-03-17
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.4,23.6,264.02,High,2022-08-18
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.6,10.5,155.18,Medium,2022-08-18
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.0,14.8,200.23,High,2022-08-18
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.3,16.4,190.75,Medium,2022-08-18
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.6,10.5,151.04,Medium,2022-08-18
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.0,5.1,49.30,Low,2022-03-10
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.2,4.4,100.73,Low,2022-03-10
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,8.1,66.24,Low,2022-03-10
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,8.1,54.89,Low,2022-03-10
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.0,5.1,31.51,Low,2022-03-10
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,4.9,0.0,141.11,Low,2022-03-10
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.3,3.8,82.73,Low,2022-03-10
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,8.1,50.06,Low,2022-03-10
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.2,4.4,133.26,Low,2022-03-10
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.1,5.7,49.85,Low,2022-03-10
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,2.7,4.6,82.46,Low,2022-03-10
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.3,3.8,109.08,Low,2022-03-10
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,3.9,7.7,58.34,Low,2022-03-10
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.1,4.7,83.97,Low,2022-03-10
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,3.9,7.7,72.63,Low,2022-03-10
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.2,4.4,100.43,Low,2022-03-10
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.8,8.1,59.31,Low,2022-03-10
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.3,3.8,73.27,Low,2022-03-10
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.1,4.7,74.74,Low,2022-03-10
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.3,3.8,90.95,Low,2022-03-10
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.1,5.7,57.00,Low,2022-03-10
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.2,11.5,60.30,Medium,2022-03-03
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.7,4.7,106.41,Low,2022-03-03
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,11.0,64.44,Medium,2022-03-03
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,11.0,66.34,Medium,2022-03-03
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.2,11.5,51.07,Medium,2022-03-03
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,6.6,0.0,304.29,Medium,2022-03-03
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,6.4,88.36,Low,2022-03-03
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,11.0,79.89,Medium,2022-03-03
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.7,4.7,112.43,Low,2022-03-03
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.2,2.6,92.47,Low,2022-03-03
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.2,6.5,72.94,Low,2022-03-03
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,6.4,159.62,Low,2022-03-03
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.5,8.2,85.97,Low,2022-03-03
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.4,6.2,88.04,Low,2022-03-03
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.5,8.2,84.32,Low,2022-03-03
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.7,4.7,88.48,Low,2022-03-03
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,11.0,41.68,Medium,2022-03-03
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,6.4,81.48,Low,2022-03-03
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.4,6.2,106.77,Low,2022-03-03
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,6.4,136.61,Low,2022-03-03
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.2,2.6,76.95,Low,2022-03-03
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.7,13.5,85.33,Medium,2022-02-24
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.1,6.7,113.71,Low,2022-02-24
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.3,15.5,106.88,Medium,2022-02-24
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.3,15.5,100.89,Medium,2022-02-24
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.7,13.5,63.02,Medium,2022-02-24
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,7.5,0.7,323.69,Medium,2022-02-24
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,7.6,112.02,Low,2022-02-24
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.3,15.5,109.04,Medium,2022-02-24
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.1,6.7,140.10,Low,2022-02-24
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.6,5.2,90.86,Low,2022-02-24
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,5.2,7.9,98.79,Low,2022-02-24
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,7.6,126.78,Low,2022-02-24
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.9,7.9,94.86,Low,2022-02-24
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.7,6.2,125.85,Low,2022-02-24
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.9,7.9,101.12,Low,2022-02-24
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.1,6.7,98.64,Low,2022-02-24
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.3,15.5,89.77,Medium,2022-02-24
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,7.6,118.87,Low,2022-02-24
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.7,6.2,116.74,Low,2022-02-24
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,7.6,229.18,Medium,2022-02-24
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.6,5.2,122.55,Low,2022-02-24
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.3,21.6,199.11,High,2022-08-25
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.1,9.3,190.73,Low,2022-08-25
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.3,156.02,Medium,2022-08-25
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.1,9.3,185.76,Low,2022-08-25
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.7,11.1,156.55,Medium,2022-08-25
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,8.0,0.0,229.39,Medium,2022-08-25
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.3,9.4,192.87,Low,2022-08-25
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,5.3,11.4,229.98,High,2022-08-25
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.3,9.4,187.62,Low,2022-08-25
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.1,9.3,185.52,Low,2022-08-25
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.7,11.1,135.95,Medium,2022-08-25
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.3,9.4,184.42,Low,2022-08-25
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.3,21.6,224.90,High,2022-08-25
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.8,9.1,136.69,Low,2022-08-25
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.5,13.4,178.90,Medium,2022-08-25
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.3,195.56,Medium,2022-08-25
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.8,9.1,169.09,Low,2022-08-25
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.3,180.98,Medium,2022-08-25
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.3,193.30,Medium,2022-08-25
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.5,13.4,171.12,Medium,2022-08-25
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.3,9.4,153.22,Low,2022-08-25
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,8.6,0.0,230.73,Medium,2022-09-01
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.3,9.8,180.23,Low,2022-09-01
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,5.8,11.4,194.59,Medium,2022-09-01
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.3,9.8,175.26,Low,2022-09-01
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.2,9.3,177.95,Low,2022-09-01
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.8,11.4,125.99,Medium,2022-09-01
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.3,9.8,166.98,Low,2022-09-01
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,14.7,186.82,Medium,2022-09-01
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,14.7,174.15,Medium,2022-09-01
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.6,13.9,160.08,Medium,2022-09-01
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.3,9.8,161.43,Low,2022-09-01
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,6.1,24.2,165.36,High,2022-09-01
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.2,9.3,160.05,Low,2022-09-01
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,14.7,166.30,Medium,2022-09-01
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.2,9.3,168.21,Low,2022-09-01
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.8,11.4,148.83,Medium,2022-09-01
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,6.1,24.2,187.96,High,2022-09-01
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.0,10.0,180.91,Medium,2022-09-01
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.6,13.9,158.05,Medium,2022-09-01
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,14.7,209.99,High,2022-09-01
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.0,10.0,169.09,Medium,2022-09-01
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.7,13.2,141.24,Medium,2022-09-08
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.2,14.4,119.80,Medium,2022-09-08
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.5,13.4,144.47,Medium,2022-09-08
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,14.9,131.44,Medium,2022-09-08
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.2,14.4,130.15,Medium,2022-09-08
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,14.9,145.73,Medium,2022-09-08
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,14.9,148.28,Medium,2022-09-08
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.5,13.4,148.55,Medium,2022-09-08
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.2,8.5,123.13,Low,2022-09-08
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.7,13.2,138.05,Medium,2022-09-08
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.0,8.9,139.67,Low,2022-09-08
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.9,14.9,120.70,Medium,2022-09-08
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.0,8.9,143.07,Low,2022-09-08
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.8,10.8,124.02,Medium,2022-09-08
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,7.5,0.0,130.41,Low,2022-09-08
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.2,8.5,150.69,Low,2022-09-08
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,6.3,7.6,151.05,Low,2022-09-08
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.2,8.5,153.44,Low,2022-09-08
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.0,8.9,131.52,Low,2022-09-08
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.8,10.8,136.67,Medium,2022-09-08
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.2,8.5,136.07,Low,2022-09-08
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.7,13.8,136.16,Medium,2022-09-15
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.8,8.3,166.06,Low,2022-09-15
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.7,13.6,139.56,Medium,2022-09-15
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.8,8.3,152.29,Low,2022-09-15
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.5,7.9,156.15,Low,2022-09-15
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,5.7,0.0,187.93,Low,2022-09-15
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.9,8.5,164.21,Low,2022-09-15
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.6,7.6,164.66,Low,2022-09-15
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.9,8.5,191.99,Low,2022-09-15
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.8,8.3,160.81,Low,2022-09-15
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.5,7.9,218.52,Medium,2022-09-15
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.9,8.5,131.57,Low,2022-09-15
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.7,13.8,151.02,Medium,2022-09-15
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,5.6,12.2,176.09,Medium,2022-09-15
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.7,11.6,151.58,Medium,2022-09-15
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.7,13.6,137.85,Medium,2022-09-15
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,5.6,12.2,167.19,Medium,2022-09-15
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.7,13.6,162.57,Medium,2022-09-15
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.7,13.6,154.01,Medium,2022-09-15
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,4.7,11.6,136.70,Medium,2022-09-15
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.9,8.5,137.11,Low,2022-09-15
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.8,14.1,188.49,Medium,2022-09-22
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.6,8.2,192.45,Low,2022-09-22
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.4,12.9,181.39,Medium,2022-09-22
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.6,8.2,171.33,Low,2022-09-22
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.2,9.5,176.28,Low,2022-09-22
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.8,14.1,165.15,Medium,2022-09-22
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.4,10.0,152.77,Medium,2022-09-22
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.0,10.0,164.84,Medium,2022-09-22
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.4,12.9,197.16,Medium,2022-09-22
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.4,10.0,188.09,Medium,2022-09-22
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,7.4,1.3,252.13,Medium,2022-09-22
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,7.7,171.47,Low,2022-09-22
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.0,6.8,195.68,Low,2022-09-22
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,7.7,199.38,Low,2022-09-22
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.6,8.2,184.13,Low,2022-09-22
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.2,9.5,202.86,Medium,2022-09-22
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,7.7,180.64,Low,2022-09-22
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.4,12.9,165.49,Medium,2022-09-22
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.4,12.9,177.11,Medium,2022-09-22
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.0,10.0,176.39,Medium,2022-09-22
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,7.7,175.42,Low,2022-09-22
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.7,12.7,169.91,Medium,2022-09-29
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.0,9.5,202.53,Medium,2022-09-29
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,15.3,181.05,Medium,2022-09-29
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.0,9.5,170.59,Low,2022-09-29
